"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.933354167E-1,2.855312347E0,-2.640658722E0,8.542735291E0
8.032634167E-1,5.086722107E0,-2.037562866E0,8.173902283E0
8.131914167E-1,6.505022736E0,-1.847607880E0,7.962392120E0
8.231204167E-1,7.040758667E0,-6.583309937E-1,9.134903870E0
8.330484167E-1,7.375312958E0,-1.697021027E0,6.765930176E0
8.429764167E-1,6.793772278E0,-3.792363739E0,6.532415771E0
8.529044167E-1,8.381670227E0,-4.237388306E0,9.082662506E0
8.628324167E-1,1.158306290E1,-5.409151611E0,7.045249329E0
8.727604167E-1,1.258253448E1,-5.277126160E0,6.047574005E0
8.826884167E-1,1.000818787E1,-5.942791901E0,5.259013824E0
8.926164167E-1,7.725434875E0,-5.922134857E0,4.111500092E0
9.025444167E-1,6.617139587E0,-3.468437347E0,4.069736938E0
9.124724167E-1,3.775448914E0,-5.429209900E0,1.410666504E0
9.224004167E-1,3.037034454E0,-3.393143921E0,1.972897339E0
9.323284167E-1,2.482587433E0,-3.257675629E0,1.877246246E0
9.422564167E-1,1.686991882E0,-4.058510284E0,2.615361328E0
9.521844167E-1,2.288740540E-1,-4.470753021E0,4.060905304E0
9.621124167E-1,-7.173083496E-1,-4.318968658E0,5.103337555E0
9.720404167E-1,-7.005432129E-2,-3.836222534E0,5.648204498E0
9.819684167E-1,1.038839722E0,-4.813839569E0,5.825885010E0
9.918964167E-1,1.943109283E0,-6.126609650E0,5.524112549E0
1.001824417E0,3.392694855E0,-5.861660614E0,5.189857635E0
1.011752417E0,4.559817810E0,-5.557193756E0,5.395080872E0
1.021680417E0,4.817581787E0,-6.121669922E0,5.735023956E0
1.031609417E0,4.539759521E0,-6.787635040E0,5.955814819E0
1.041537417E0,4.187991028E0,-5.584886169E0,5.747897186E0
1.051465417E0,3.809278564E0,-5.122946777E0,5.964646454E0
1.061393417E0,4.496200104E0,-6.057154083E0,5.095404053E0
1.071321417E0,6.274202728E0,-5.863756256E0,4.654271393E0
1.081249417E0,4.510121155E0,-6.977440338E0,4.277654572E0
1.093120792E0,1.890568542E0,2.004331970E0,9.340725861E0
1.103048792E0,1.996398468E0,1.732946320E0,9.289981384E0
1.112976792E0,1.889969788E0,1.917961578E0,9.581425323E0
1.122904792E0,1.494342499E0,2.164349213E0,9.567354584E0
1.132832792E0,1.317260742E0,1.921254730E0,9.479337616E0
1.142760792E0,1.470841370E0,1.428778839E0,9.514664154E0
1.152687792E0,1.522334290E0,1.580712891E0,9.515562286E0
1.162615792E0,1.666783905E0,2.138003998E0,9.746531982E0
1.172543792E0,1.307381287E0,2.119592285E0,9.665101318E0
1.182471792E0,1.341360626E0,1.851499786E0,9.131161652E0
1.192399792E0,1.590143280E0,1.632654877E0,9.737251282E0
1.202327792E0,1.415905609E0,1.293609924E0,1.007300308E1
1.212254792E0,1.520088959E0,1.235081635E0,9.514664154E0
1.222182792E0,1.512005768E0,1.369502106E0,1.033480865E1
1.232110792E0,1.298549652E0,1.286873932E0,1.119701569E1
1.242038917E0,6.463558960E-1,9.945318604E-1,1.122650436E1
1.251966917E0,1.047821045E0,6.156697083E-1,1.198258209E1
1.261894917E0,-1.778302002E-1,-2.983296204E-1,1.276500504E1
1.271821917E0,1.470392303E0,-8.532257080E-2,1.508383301E1
1.281749917E0,2.961441650E0,7.128176880E-1,1.824406128E1
1.291677917E0,1.737886047E0,5.080435181E-1,1.695554077E1
1.301605917E0,1.591191101E0,2.438429260E-1,1.517738846E1
1.311533917E0,2.089504852E0,5.111869812E-1,1.450468735E1
1.321460917E0,2.444566498E0,1.750759277E0,1.225950623E1
1.331388917E0,1.828447723E0,1.535357208E0,9.427245941E0
1.341316917E0,9.672885132E-1,1.825753326E0,7.443271637E0
1.351244917E0,-3.936813354E-2,2.612367554E0,5.391188965E0
1.361172917E0,-5.774990845E-1,4.148772583E0,2.604583740E0
1.371100917E0,-5.185217285E-1,2.826272736E0,1.389710083E0
1.381027917E0,-7.994874573E-1,2.373763733E0,6.544390869E-1
1.390955917E0,-1.235381012E0,1.819017334E0,6.750961304E-2
1.400883917E0,-1.486408997E-1,1.628613281E-1,-2.810106354E0
1.410811917E0,3.285667419E-1,-1.023721161E0,-1.811233521E0
1.420739917E0,-3.062930603E0,-9.668394470E-1,1.019589752E1
1.430667917E0,-7.549550629E0,-8.244854736E-1,3.544314560E1
1.440594917E0,3.651207275E0,-8.128097534E-2,1.183319275E1
1.450522917E0,9.894873505E0,-4.793481903E0,-9.478289795E-1
1.460450917E0,1.043554916E1,-5.842201080E0,4.015699310E0
1.470378917E0,6.092480621E0,-3.217559052E0,1.037372772E1
1.480306917E0,1.079255676E0,4.058510284E0,1.090946365E1
1.490234917E0,8.429420929E0,8.036937103E0,8.944200439E0
1.500161917E0,1.349638412E1,-5.309608612E0,7.190597076E0
1.510089917E0,9.197324066E0,-1.295630722E1,5.588927765E0
1.520017917E0,9.410480804E0,-8.327632599E0,6.417005768E0
1.529945917E0,1.058149567E1,-8.115523682E0,4.758305054E0
1.539873917E0,8.740474091E0,-9.109157410E0,2.440973969E0
1.549801917E0,8.389304352E0,-9.173224182E0,1.939965820E0
1.559728917E0,8.230634308E0,-1.008303223E1,9.036708069E-1
1.569656917E0,7.740703125E0,-1.073747131E1,-1.314266968E-1
1.579584917E0,7.901319122E0,-1.088012466E1,-5.788462830E-1
1.589512917E0,8.098608856E0,-1.126617188E1,-4.158352661E-1
1.599440917E0,7.482939148E0,-1.204485260E1,5.881269836E-1
1.609368917E0,6.651118927E0,-1.245350281E1,1.127605133E0
1.619295917E0,6.574029236E0,-1.170461014E1,1.768422546E0
1.629223917E0,7.200027466E0,-1.014694931E1,3.054098969E0
1.639151917E0,7.480993195E0,-1.225546463E1,3.307971039E0
1.649079917E0,8.688681793E0,-1.237865845E1,4.580175476E0
1.659007917E0,8.317004700E0,-1.217328552E1,6.171965332E0
1.668935917E0,8.795858917E0,-1.198677338E1,7.819439392E0
1.678862917E0,1.020592667E1,-9.570498047E0,9.983938293E0
1.688790917E0,9.275910645E0,-9.637109528E0,1.209799210E1
1.698718917E0,1.086575455E1,-8.258177032E0,1.318802536E1
1.708646917E0,1.151959488E1,-5.728138275E0,1.544353500E1
1.718574917E0,1.216520233E1,-3.406765594E0,1.698053879E1
1.728501917E0,1.200683167E1,-5.024301910E0,1.616129242E1
1.738429917E0,1.272878036E1,-3.605701904E0,1.692021423E1
1.748357917E0,1.284269348E1,-1.766177216E0,1.752001694E1
1.758285917E0,1.232746490E1,-5.623805237E-1,1.631172958E1
1.768213917E0,1.211580505E1,7.911048889E-1,1.529160095E1
1.778141917E0,1.154638916E1,2.312091980E0,1.416713928E1
1.788068917E0,1.089793762E1,3.731590118E0,1.201835770E1
1.797996917E0,1.047656387E1,4.495002594E0,9.855505371E0
1.807924917E0,1.042851379E1,5.208269348E0,7.897277527E0
1.817852917E0,1.064631088E1,6.426136780E0,6.755002899E0
1.827780917E0,1.020053787E1,6.772815857E0,7.842940521E0
1.837708917E0,8.722062378E0,4.764741669E0,7.777526550E0
1.847635917E0,7.359146576E0,1.231938171E0,5.509892120E0
1.857563917E0,7.703879700E0,-6.065386963E-1,3.694916382E0
1.867491917E0,8.167465668E0,-2.473905487E0,2.127825165E0
1.877419917E0,7.205416260E0,-4.209246826E0,1.462608490E0
1.887347917E0,5.759273529E0,-5.512586517E0,-5.468128967E-1
1.897275917E0,4.044140167E0,-7.260501709E0,-1.847458191E0
1.907202917E0,2.515668640E0,-8.729546814E0,-1.737287292E0
1.917130917E0,1.525028687E0,-7.768096161E0,-1.683399353E0
1.927058917E0,-3.746708679E-1,-6.010301514E0,-3.015329590E0
1.936986917E0,-5.611830139E-1,-7.349267120E0,-1.552272034E0
1.946914917E0,6.631210327E-2,-7.425159302E0,3.319946136E0
1.956842917E0,-1.248703308E0,-7.385491791E0,4.407584381E0
1.966769917E0,-1.327140198E0,-8.013435974E0,5.012326813E0
1.976697917E0,-1.908531189E-1,-8.286917267E0,5.944139099E0
1.986625917E0,6.768923950E-1,-8.677155762E0,5.626649323E0
1.996553917E0,1.157393188E0,-7.819738770E0,4.965773621E0
2.006481917E0,2.461032257E0,-6.692582703E0,4.878056030E0
2.016408917E0,2.300715637E0,-5.207371216E0,4.979994049E0
2.026336917E0,1.704804840E0,-4.597389679E0,4.776716766E0
2.036264917E0,2.091450806E0,-4.996310120E0,3.821403351E0
2.046192917E0,2.486179962E0,-4.557722168E0,3.238066406E0
2.056120917E0,2.251168671E0,-4.252207489E0,2.827919312E0
2.066048917E0,1.471739502E0,-4.160148926E0,2.446063385E0
2.075975917E0,4.622387695E-1,-5.206622772E0,2.567610626E0
2.085903917E0,1.651066589E-1,-7.342082062E0,3.783681793E0
2.095831917E0,1.082698517E0,-9.478439484E0,5.337750092E0
2.105759917E0,3.462150421E0,-1.118533997E1,5.211562500E0
2.115687917E0,6.125112762E0,-1.289283920E1,4.671635284E0
2.125615917E0,8.616531830E0,-1.485076767E1,5.733527069E0
2.135542917E0,9.182355194E0,-1.702873856E1,8.018076324E0
2.145470917E0,8.147108002E0,-1.844898514E1,8.752299500E0
2.155398917E0,8.757837982E0,-1.825648544E1,6.696175232E0
2.165326917E0,1.005339386E1,-1.974124786E1,4.398153992E0
2.175254917E0,1.404978333E1,-1.857876526E1,2.574047241E0
2.185182917E0,1.611054794E1,-1.613809067E1,2.042801971E0
2.195109917E0,1.462189362E1,-1.796788559E1,3.260220337E0
2.205037917E0,1.155462204E1,-1.758333527E1,4.382885742E0
2.214965917E0,9.086255035E0,-1.633208725E1,4.424648895E0
2.224893917E0,9.329648895E0,-1.487337067E1,5.027894440E0
2.234821917E0,9.652527466E0,-1.350102448E1,5.160368958E0
2.244753917E0,7.878716125E0,-1.162572418E1,5.110223236E0
2.254680917E0,4.975204010E0,-1.127679977E1,5.919590149E0
2.264608917E0,4.231700134E0,-1.274255173E1,6.895560608E0
2.274536917E0,3.654051361E0,-1.465078354E1,5.230872345E0
2.284464917E0,4.461921387E0,-1.553065384E1,2.556683350E0
2.294392917E0,3.948489075E0,-1.302740936E1,-8.925938416E-1
2.304320917E0,1.617236938E0,-1.102008362E1,-3.177292786E0
2.314247917E0,-1.465452576E0,-7.772886200E0,-3.577111359E0
2.324175917E0,-3.856131134E0,-4.665797424E0,-3.325334930E0
2.334103917E0,-5.677244110E0,-2.522254944E0,-3.390449524E0
2.344031917E0,-6.335874481E0,-1.017583923E0,-3.588787079E0
2.353959917E0,-5.900729370E0,-2.754272461E-1,-5.535937958E0
2.363887917E0,-5.839057617E0,4.056564331E-2,-7.314389648E0
2.373814917E0,-6.102659454E0,-3.529660034E-1,-6.298152924E0
2.383742917E0,-6.031856689E0,-3.098556519E-2,-1.040186920E0
2.393670917E0,-5.941295013E0,7.658074951E-1,2.729873199E0
2.403598917E0,-3.629352722E0,2.756068726E0,2.928510132E0
2.413526917E0,1.198557587E0,3.838617554E0,2.414029999E0
2.423453917E0,3.351380768E0,1.831740875E0,5.771548004E0
2.433381917E0,3.322341156E0,2.008223877E0,8.862470398E0
2.443309917E0,2.682122498E0,1.945653992E0,5.103187866E0
2.453237917E0,2.347717896E0,2.538121948E0,5.395230560E0
2.463165917E0,1.542093201E0,5.263055420E0,8.257129211E0
2.473093917E0,-1.962419128E-1,8.712931366E0,1.075184143E1
2.483020917E0,-1.618135071E0,1.040396484E1,1.614108444E1
2.492948917E0,2.712658997E0,8.834777985E0,3.125799866E1
2.502876917E0,5.394332428E0,7.521558838E0,2.506447815E1
2.512804917E0,4.713398438E0,1.900747375E0,1.405427399E1
2.522732917E0,8.144563293E-1,-2.676134949E0,-4.268224182E0
2.532660917E0,-3.819607086E0,-6.055956573E0,-2.367656433E1
2.542587917E0,-5.809419250E0,-1.102517303E1,-3.925856140E1
2.552515917E0,-1.581461334E0,-1.633582947E1,-2.592788269E1
2.562443917E0,-7.861651611E-1,-2.279863998E1,-1.047207321E1
2.572371917E0,-2.220482483E0,-2.654594742E1,3.286266174E0
2.582299917E0,-2.056723022E-1,-2.753000107E1,7.590265961E0
2.592227917E0,-3.079096985E-1,-2.616648651E1,1.592942459E1
2.602154917E0,4.742288361E0,-2.558374832E1,2.145204025E1
2.612082917E0,5.393284607E0,-2.793880096E1,2.301029984E1
2.622010917E0,2.786605225E0,-2.943344284E1,2.124936172E1
2.631938917E0,3.088078308E-1,-2.742596741E1,1.929143326E1
2.641866917E0,-7.659571838E-1,-2.412533112E1,1.702424789E1
2.651794917E0,-9.834548950E-2,-1.999931122E1,1.232342331E1
2.661721917E0,-2.612068176E-1,-1.525732224E1,8.480464783E0
2.671649917E0,-5.418731689E-2,-1.311392944E1,4.975503387E0
2.681577917E0,1.998045044E0,-1.113788864E1,1.127006378E0
2.691505917E0,2.406844940E0,-9.705966339E0,-1.884431305E0
2.701433917E0,1.050365753E0,-1.038091278E1,-1.603166199E0
2.711360917E0,-3.445534973E0,-1.392179947E1,3.315156097E0
2.721288917E0,-1.051189041E1,-1.872680740E1,6.188431091E0
2.731216917E0,-9.050030365E0,-1.682441345E1,-5.215155029E-1
2.741144917E0,-4.946463776E0,-1.224842926E1,1.459465027E-1
2.751072917E0,-2.689307556E0,-8.848998413E0,1.350192261E0
2.761000917E0,-8.737330627E-1,-5.780080261E0,-7.629634094E-1
2.770927917E0,8.427474976E-1,-3.102149048E0,-3.319946136E0
2.780855917E0,8.611592102E-1,-1.593436432E0,-3.505560150E0
2.790783917E0,-7.229965210E-2,-1.263073425E0,-7.614665222E-1
2.800711917E0,-2.537223816E-1,-1.101409607E0,1.332079926E0
2.810639917E0,-4.610412598E-2,-9.300160217E-1,1.210382996E0
2.820567917E0,-8.262817383E-2,-4.578977966E-1,2.275268555E-1
