"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.942007917E-1,-1.073537567E1,-2.856809235E0,1.085841980E0
8.042307917E-1,-1.160327087E1,-2.106569366E0,-1.394200745E0
8.142617916E-1,-1.037522461E1,-4.675078125E0,-5.456153870E0
8.242927917E-1,-1.054078033E1,-6.005810852E0,-5.403014374E0
8.343237917E-1,-1.024424698E1,-6.929839325E0,-1.978286133E0
8.443547917E-1,-1.294822403E1,-2.370620270E0,-6.647676086E-1
8.543857917E-1,-1.520732620E1,-4.912783813E-1,2.500250702E0
8.644157917E-1,-1.022029678E1,-5.138364716E0,1.726958771E0
8.744467917E-1,-6.958130493E0,-6.467600555E0,1.712438965E0
8.844777917E-1,-8.082592163E0,-5.389243011E0,1.947001190E0
8.945087917E-1,-8.207133179E0,-4.904550934E0,3.420387268E-1
9.045397918E-1,-5.560636597E0,-6.098019104E0,5.357359314E-1
9.145707916E-1,-9.027577057E0,-6.018235016E0,2.992277527E-1
9.246007917E-1,-1.370400238E1,-6.274651794E0,-2.188898163E0
9.346316251E-1,-1.459689560E1,-7.912695465E0,-5.141358490E0
9.446626250E-1,-1.116034195E1,-8.879235535E0,-4.475243683E0
9.546936250E-1,-7.791297913E0,-8.583001556E0,-1.674867096E0
9.647246250E-1,-6.708150330E0,-6.103407898E0,1.189276886E0
9.747556250E-1,-5.901926880E0,-2.567760315E0,8.282576294E0
9.847856250E-1,-4.818180542E0,-4.967719574E0,8.901688843E0
9.948166250E-1,-2.709515533E0,-4.339625702E0,2.668051758E0
1.004847625E0,-3.743116150E0,-6.135890350E0,-1.064286804E0
1.014878625E0,-5.585335236E0,-7.504494324E0,-3.183729401E0
1.024909625E0,-6.380631409E0,-8.058941345E0,-6.422693939E0
1.034940625E0,-4.766687622E0,-8.889114990E0,-8.836873627E0
1.044970625E0,-5.515580292E0,-9.215137024E0,-7.142996063E0
1.055001625E0,-7.603737946E0,-9.353748779E0,-3.376229095E0
1.065032625E0,-8.976533203E0,-9.310488739E0,-2.439926147E-2
1.075063625E0,-8.920250244E0,-5.832621002E0,1.559008026E0
1.085094625E0,-8.243208160E0,-4.818180542E0,3.718267822E0
1.095124625E0,-1.351689148E1,-9.906998291E0,2.552192688E0
1.105155625E0,-1.549772232E1,-1.062999481E1,-2.461631012E0
1.115186625E0,-1.435649551E1,-7.450756073E0,-4.623136139E0
1.125217625E0,-1.365011444E1,-7.840545502E0,-5.263953552E0
1.135248625E0,-1.058419006E1,-7.382498016E0,-4.699477386E0
1.145279625E0,-1.151764893E1,-8.008496246E0,-4.917274475E-1
1.155310625E0,-1.624871063E1,-1.065229843E1,3.949387207E0
1.165340625E0,-1.665212173E1,-8.351882172E0,3.112627258E0
1.175371625E0,-1.746612900E1,-3.984414368E0,6.595734100E0
1.185402625E0,-1.263148270E1,-4.956792297E0,2.821482697E0
1.195433625E0,-7.460934906E0,-4.250411224E0,-9.918374634E-1
1.205464625E0,-3.960314484E0,-4.958738251E0,-2.429897003E0
1.215494625E0,2.197430420E-1,-5.876779175E0,-4.203408966E0
1.225525625E0,3.403472443E0,-4.151017914E0,-4.098776550E0
1.235556625E0,4.277504883E0,-2.668949890E0,-3.060385895E0
1.245587625E0,6.261179810E0,-9.455836487E-1,-1.245110779E0
1.255618625E0,6.445596313E0,-5.343887329E-2,8.270301819E-1
1.265649625E0,4.087849274E0,1.310375061E0,4.151317291E0
1.275679625E0,8.940907288E-1,1.322050781E0,7.679630127E0
1.285710625E0,3.156935120E-1,6.616241455E-1,6.504573669E0
1.295741625E0,8.159532166E-1,3.841012573E-1,2.304308167E0
1.305772625E0,-1.767823792E0,-2.082768860E0,-2.682421875E-1
1.315803625E0,-6.502178650E0,-5.187013550E0,-5.477110291E-1
1.325834625E0,-1.147109573E1,-5.379962311E0,1.286424866E0
1.335864625E0,-1.248104553E1,-5.456303558E0,2.287393341E0
1.345895625E0,-1.084075653E1,-5.828429718E0,7.274871826E-1
1.355926625E0,-1.047566574E1,-5.955365753E0,-6.436614990E-3
1.365957625E0,-1.041833496E1,-6.788982239E0,9.601034546E-1
1.375988625E0,-1.077354630E1,-6.567891998E0,2.145039368E-1
1.386019625E0,-1.405966278E1,-6.437064056E0,2.219883728E-1
1.396049625E0,-1.647548904E1,-7.532186737E0,-4.694238281E-1
1.406080625E0,-1.767195099E1,-8.786877594E0,-3.502716064E-2
1.416111625E0,-1.738619522E1,-9.068442078E0,-1.561253357E0
1.426142625E0,-1.581536179E1,-9.808952179E0,-2.935096436E0
1.436173625E0,-1.320688614E1,-1.056832306E1,-9.241931305E0
1.446204625E0,-1.311348038E1,-9.703721008E0,-1.721165817E1
1.456234625E0,-1.477622269E1,-9.574389954E0,1.016087036E0
1.466265625E0,-1.302157150E1,-4.587510223E0,8.260122986E0
1.476296625E0,-1.352542374E1,-1.884880371E0,9.223519592E0
1.486327625E0,-1.601085526E1,-3.579656067E0,1.414558411E-1
1.496358625E0,-1.784184769E1,-5.118905182E0,-1.435514832E0
1.506389625E0,-1.711301331E1,-4.192631378E0,-2.258503418E0
1.516419625E0,-1.510583725E1,-2.639461212E0,-3.571722565E0
1.526450625E0,-1.436517746E1,-9.607022095E-1,1.473984833E0
1.536481625E0,-1.419303543E1,1.168919220E0,5.618566132E0
1.546512625E0,-1.582299591E1,1.657203827E0,5.542374573E0
1.556543625E0,-1.627745087E1,-2.149530029E-1,2.177970886E0
1.566574625E0,-1.344429245E1,-2.461780701E0,-7.339237976E-1
1.576604625E0,-1.059676392E1,-2.546953583E0,-3.760180664E0
1.586635625E0,-7.968529358E0,-1.281036072E0,-4.273463287E0
1.596666625E0,-6.811734924E0,-2.200424194E-2,-1.299747162E0
1.606697625E0,-6.801406403E0,7.518864441E-1,3.296894073E0
1.616728625E0,-6.781797180E0,1.194965057E0,5.722001038E0
1.626758625E0,-6.014193420E0,1.072519684E0,4.716242523E0
1.636789625E0,-5.010380859E0,7.134164429E-1,1.817520447E0
1.646820625E0,-6.653364258E0,-1.109792175E0,6.734495544E-1
1.656851625E0,-9.777667236E0,-2.530188446E0,-4.468208313E-1
1.666882625E0,-1.057131683E1,-6.900650024E-1,-1.712139587E0
1.676913625E0,-1.039603134E1,-3.520079956E0,-1.549727325E0
1.686943625E0,-1.053209839E1,-5.846392365E0,-8.964857483E-1
1.696974625E0,-9.048832855E0,-6.840924225E0,-5.773194580E0
1.707005625E0,-7.829767914E0,-4.764442291E0,-8.612041168E0
1.717036625E0,-7.116950226E0,-4.471052399E0,-8.087681580E0
1.727067625E0,-3.844006348E-1,-5.478457489E0,-5.619164886E0
1.737098625E0,2.181713104E0,-6.705306244E0,-7.433541870E-1
1.747128625E0,-1.056203613E0,-4.242477722E0,1.103654938E0
1.757159625E0,-9.695488129E0,1.040336609E-1,1.279389496E0
1.767190625E0,-1.102277802E1,2.990930328E0,4.947212219E-1
1.777221625E0,5.279521179E-1,-4.474345551E0,5.897735596E-2
1.787252625E0,7.747738495E0,-1.090841583E1,-2.263293457E-1
1.797283625E0,9.432784424E0,-9.920470276E0,-2.986289978E0
1.807313625E0,8.213719482E0,-9.207203522E0,-5.630690918E0
1.817344625E0,5.447172546E0,-1.150312912E1,-4.744084625E0
1.827375625E0,1.686842194E0,-1.035591476E1,-1.406624908E0
1.837406625E0,1.428030396E0,-1.066861450E1,2.387385406E0
1.847437625E0,5.110672302E0,-8.794661407E0,5.495372314E0
1.857468625E0,8.660989380E0,-6.976542206E0,7.431895294E0
1.867498625E0,4.784949646E0,-1.317051178E1,7.590565338E0
1.877529625E0,-5.999523926E-1,-1.543859528E1,1.080932190E1
1.887560625E0,-8.402476959E0,-1.613644409E1,2.673410614E1
1.897591625E0,-1.635498962E1,-1.887814270E1,3.740795975E1
1.907622625E0,-1.971759705E1,-1.939516754E1,2.618684418E1
1.917652625E0,-2.053564590E1,-1.882904480E1,1.174846893E1
1.927683625E0,-2.040287201E1,-1.722483078E1,6.496041412E0
1.937715667E0,-1.716121307E1,-1.468970261E1,8.443491669E0
1.947746667E0,-1.305285645E1,-1.028136978E1,5.207670593E0
1.957777667E0,-8.516240387E0,-8.543783112E0,1.653910675E0
1.967808667E0,-5.735023956E0,-9.179511108E0,-2.075583801E0
1.977838667E0,-4.927153931E0,-8.767567749E0,-7.288792877E0
1.987869667E0,-4.465064850E0,-8.071365509E0,-8.596323853E0
1.997900667E0,-3.638184357E0,-7.804021454E0,-5.567073212E0
2.007931667E0,-2.966830444E0,-6.793173523E0,-2.674338684E0
2.017962667E0,-2.678979034E0,-6.215674438E0,-5.203179932E-1
2.027993667E0,-3.147205353E0,-6.516997833E0,7.430548096E-1
2.038023667E0,-2.300565948E0,-5.261259155E0,-2.692900085E-1
2.048054667E0,-4.312532043E-1,-2.432591400E0,-2.032623138E0
2.058085667E0,2.098635864E-1,-2.195484467E0,-2.612517242E0
2.068116667E0,2.936892700E-1,-2.477498016E0,-1.781445465E0
2.078147667E0,5.146298218E-1,-2.896626434E0,-1.000220032E0
2.088177667E0,4.930746460E-1,-3.218606873E0,-1.635498962E0
2.098208667E0,5.620811462E-1,-3.599564667E0,-4.464915161E0
2.108239667E0,8.026309204E-1,-4.076622620E0,-5.804180145E0
2.118270667E0,1.212927704E0,-4.460125122E0,-5.786367188E0
2.128301667E0,2.599793701E0,-5.924829254E0,-3.055296478E0
2.138332667E0,3.895648956E0,-8.106242981E0,-1.664538574E0
2.148362667E0,5.846691742E0,-1.225471619E1,-5.145699463E0
2.158393667E0,7.198380890E0,-1.538216263E1,-6.982679443E0
2.168424667E0,6.865024109E0,-1.810889236E1,-1.066696793E1
2.178455667E0,5.583688660E0,-1.986264542E1,-1.244781464E1
2.188486667E0,2.468067627E0,-1.852143448E1,-1.096290253E1
2.198517667E0,6.212081909E-2,-1.556119034E1,-7.611521759E0
2.208547667E0,-1.297651520E0,-1.256142838E1,-4.088298340E0
2.218578667E0,-1.736688538E0,-9.873018951E0,-1.121318207E0
2.228609667E0,-1.335223389E0,-7.706125031E0,6.182144165E-1
2.238640667E0,-5.287005615E-1,-6.131399689E0,1.111289062E0
2.248671667E0,9.116043091E-2,-4.910388794E0,8.246351624E-1
2.258702667E0,2.471360779E-1,-4.563560028E0,1.171164551E0
2.268732667E0,3.421884155E-1,-5.375471649E0,1.828148346E0
2.278763667E0,5.472619629E-1,-7.202123108E0,1.794468384E0
2.288794667E0,1.589694214E-1,-9.190887451E0,2.531984711E0
2.298825667E0,-9.851014709E-1,-1.082444046E1,3.655548248E0
2.308856667E0,-2.079026642E0,-1.184426971E1,2.069895630E0
2.318886667E0,-3.581302643E0,-1.208871140E1,-4.812492371E-1
2.328917667E0,-4.855153656E0,-1.215741852E1,-2.418370972E0
2.338948667E0,-5.599855042E0,-1.198827026E1,-2.224075012E0
2.348979667E0,-6.250851288E0,-1.145927032E1,3.399430847E-1
2.359010667E0,-6.743476868E0,-1.073163345E1,3.805236969E0
2.369041667E0,-6.760242004E0,-9.585616608E0,5.189558258E0
2.379071667E0,-6.873107300E0,-8.706794128E0,3.662733307E0
2.389102667E0,-7.404801636E0,-8.627159729E0,6.421646118E-1
2.399133667E0,-7.718998260E0,-9.439670105E0,-1.385818176E0
2.409164667E0,-8.186326447E0,-1.009261230E1,-1.250948639E0
2.419195667E0,-8.489895172E0,-1.071801178E1,-1.727407837E-1
2.429226667E0,-8.276289368E0,-1.150612289E1,2.195933533E0
2.439256667E0,-8.002209320E0,-1.292876450E1,5.666017456E0
2.449287667E0,-7.539970551E0,-1.394170807E1,7.580236816E0
2.459318667E0,-6.736740875E0,-1.380848511E1,7.421417084E0
2.469349667E0,-6.491850128E0,-1.304357574E1,6.794520721E0
2.479380667E0,-7.509733429E0,-1.183334244E1,4.667893066E0
2.489410667E0,-8.949140167E0,-1.105047043E1,2.472109222E0
2.499441667E0,-9.602681122E0,-1.075468552E1,4.309238892E0
2.509472667E0,-8.595575409E0,-1.123069565E1,5.883664856E0
2.519503667E0,-6.776558075E0,-1.280931290E1,2.504441986E0
2.529534667E0,-5.685177612E0,-1.430724792E1,-3.441493378E0
2.539565667E0,-5.358706512E0,-1.504266861E1,-8.314010925E0
2.549595667E0,-5.599405975E0,-1.536105652E1,-9.969568176E0
2.559626667E0,-5.528004456E0,-1.598705475E1,-8.056097260E0
2.569657667E0,-5.793402557E0,-1.717693039E1,-1.274599457E0
2.579688667E0,-6.815477142E0,-1.836411163E1,2.673290863E0
2.589719667E0,-8.334817657E0,-1.907857590E1,6.560856628E-1
2.599749667E0,-8.889414368E0,-1.865989655E1,-9.934840393E-1
2.609780667E0,-7.103478241E0,-1.749471954E1,-1.475631409E0
2.619811667E0,-6.486161957E0,-1.604423584E1,-1.783092041E0
2.629842667E0,-6.356531525E0,-1.431952240E1,-2.260000305E0
2.639873667E0,-6.060147858E0,-1.250454666E1,-2.509980469E0
2.649904667E0,-5.327122192E0,-1.069735474E1,-3.298241272E0
2.659934667E0,-3.884721680E0,-8.763526154E0,-3.554208984E0
2.669965667E0,-1.995350647E0,-6.956034851E0,-3.131038971E0
2.679996667E0,-7.357200623E-1,-5.199587402E0,-3.080743561E0
2.690027667E0,-4.490661621E-3,-4.149221649E0,-3.033441925E0
2.700058667E0,3.588038635E-1,-3.124153290E0,-2.966680756E0
2.710089667E0,1.314266968E-1,-2.032623138E0,-3.078498230E0
2.720119667E0,9.011260986E-2,-1.133442993E0,-3.078647919E0
2.730150667E0,2.161505127E-1,-3.631448364E-1,-3.081641693E0
2.740181667E0,4.806504822E-1,-3.427871704E-2,-2.921923828E0
2.750212667E0,1.359622650E0,-2.862048340E-1,-2.357747040E0
2.760243667E0,2.043251038E0,-7.461982727E-1,-2.243534546E0
2.770274667E0,2.390528870E0,-1.014141083E0,-2.362836456E0
2.780304667E0,2.543211365E0,-1.129251709E0,-2.495161285E0
2.790335667E0,2.705623627E0,-1.018482056E0,-2.538870392E0
2.800366667E0,2.772235107E0,-7.235952759E-1,-2.154320068E0
2.810397667E0,2.690954132E0,-3.700305176E-1,-1.823507996E0
2.820428667E0,2.138453064E0,1.100212097E-1,-1.220262451E0
2.830458667E0,8.936416626E-1,4.547543335E-1,-4.016148376E-1
2.840489667E0,-9.632469177E-1,5.435197449E-1,4.867877197E-1
2.850520667E0,-3.204087067E0,2.559677124E-1,1.966909790E0
2.860551667E0,-4.030368805E0,-1.573677521E0,4.913681946E0
2.870582667E0,-3.171155548E0,-4.539011078E0,1.045366150E1
2.880613667E0,-3.163820801E0,-7.732769623E0,1.848670670E1
2.890643667E0,-4.795876923E0,-1.198228271E1,2.765768555E1
2.900674667E0,-8.638087006E0,-1.779514481E1,2.872361893E1
2.910705667E0,-1.192839478E1,-2.469220230E1,2.001368134E1
2.920736667E0,-1.467653000E1,-3.336082581E1,1.058553726E1
2.930767667E0,-1.382644775E1,-3.337804001E1,6.948400726E0
2.940797000E0,-9.290580139E0,-2.155891800E1,6.098168793E0
2.950828000E0,-4.760101318E0,-1.043839325E1,4.594844971E0
2.960859000E0,-1.967059479E0,-4.163591766E0,3.603905640E0
2.970890000E0,-9.618997192E-1,-7.391629028E-1,8.434959412E-1
2.980921000E0,-1.107546844E0,1.292562103E0,-4.540058899E0
2.990952000E0,-1.950294342E0,2.755469971E0,-8.995094604E0
3.000982000E0,-2.262545013E0,1.747316437E0,-1.093386292E1
3.011013000E0,-1.388063507E0,-2.284249878E0,-6.176605682E0
3.021044000E0,-5.843847656E-1,-9.796228638E0,1.526241165E1
3.031075000E0,4.017645264E-1,-2.106689117E1,1.544667847E1
3.041106000E0,1.517843628E0,-2.570619370E1,-1.327858704E1
3.051136000E0,-1.350491638E0,-2.392759232E1,-2.252845184E1
3.061167000E0,-4.620142365E0,-1.699416046E1,-1.311303131E1
3.071198000E0,-6.560856628E-1,-9.384434967E0,1.923200684E0
3.081229000E0,2.652334442E0,-4.723726959E0,1.031235535E1
3.091260000E0,1.957778778E0,-4.343367920E0,1.329385529E0
3.101291000E0,-3.692820740E-1,-6.378086700E0,-8.383466492E0
3.111321000E0,-3.248095551E0,-8.719068604E0,-1.034768188E1
3.121352000E0,-5.042713623E0,-1.069481003E1,-7.016060028E0
3.131383000E0,-5.069956970E0,-1.279314651E1,-3.099005585E0
3.141414000E0,-4.645140381E0,-1.454869583E1,4.578977966E-1
3.151445000E0,-3.114423523E0,-1.463506622E1,-1.264121246E0
3.161475000E0,-2.332449646E0,-1.282787430E1,-3.998934174E0
3.171506000E0,-2.636467438E0,-1.060843964E1,-4.859045563E0
3.181537000E0,-3.001109161E0,-8.830287323E0,-4.718637543E0
3.191568000E0,-3.153941345E0,-7.245383148E0,-2.270478516E0
3.201599000E0,-2.993175659E0,-5.766757965E0,1.391356659E0
3.211630000E0,-2.218386841E0,-5.239404602E0,2.445015564E0
3.221660000E0,-1.688937836E0,-5.413043518E0,2.414479065E0
3.231691000E0,-1.854942627E0,-5.658682709E0,2.943479004E0
3.241722000E0,-1.744023285E0,-5.851182404E0,2.020947418E0
3.251753000E0,-1.634750519E0,-5.868995361E0,7.077282715E-1
3.261784000E0,-1.899699554E0,-5.968238983E0,2.290237427E-2
3.271815000E0,-2.369422760E0,-6.346652069E0,-4.192781067E-1
3.281845000E0,-2.673889618E0,-6.767127686E0,-1.076261902E-1
3.291876000E0,-2.655328217E0,-7.211254120E0,6.426136780E-1
3.301907000E0,-2.301464081E0,-7.868387604E0,7.149133301E-1
3.311938000E0,-2.161505127E0,-8.506660309E0,1.112187195E-1
3.321969000E0,-2.733615417E0,-9.038654022E0,-6.893165588E-1
3.331999000E0,-3.878285065E0,-9.550439758E0,-7.009922791E-1
3.342030000E0,-5.066065063E0,-9.858199768E0,4.219725037E-1
3.352061000E0,-5.645210724E0,-9.791438599E0,2.055375824E0
3.362092000E0,-5.530549164E0,-9.445358276E0,3.009192352E0
3.372123000E0,-5.110821991E0,-9.344168701E0,2.559976501E0
3.382153000E0,-4.725074158E0,-9.727371826E0,9.015751648E-1
3.392184000E0,-4.860841827E0,-1.041848465E1,-7.858657837E-1
3.402215000E0,-5.619314575E0,-1.105181763E1,-9.174421692E-1
3.412246000E0,-6.605613556E0,-1.157228531E1,1.886077881E-2
3.422277000E0,-7.405400391E0,-1.219124817E1,4.495152283E-1
3.432308000E0,-7.825277252E0,-1.280003220E1,9.569599915E-1
3.442338000E0,-7.384294281E0,-1.287652313E1,3.262765045E0
3.452369000E0,-5.873036957E0,-1.257729538E1,6.927593994E0
3.462400000E0,-4.687801666E0,-1.286260208E1,8.848399658E0
3.472431000E0,-4.649631042E0,-1.329071182E1,7.425608368E0
3.482462000E0,-5.938750305E0,-1.313443680E1,5.791157227E0
3.492493000E0,-7.541317749E0,-1.239736954E1,5.580994263E0
3.502523000E0,-8.285420380E0,-1.135269196E1,6.054609375E0
3.512554000E0,-8.110733643E0,-1.051877609E1,5.896388397E0
3.522585000E0,-7.879314880E0,-1.041743683E1,3.444786530E0
3.532616000E0,-7.846233673E0,-1.089928482E1,-8.475375366E-1
3.542647000E0,-8.334967346E0,-1.195473999E1,-5.144352264E0
3.552677000E0,-8.276289368E0,-1.355536148E1,-7.013515320E0
3.562708000E0,-7.351961517E0,-1.503039413E1,-6.654861145E0
3.572739000E0,-6.358477478E0,-1.607207794E1,-5.487289124E0
3.582770000E0,-6.410269775E0,-1.688458832E1,-2.389031982E0
3.592801000E0,-7.902366943E0,-1.763153503E1,1.049916687E0
3.602831000E0,-9.207053833E0,-1.818194046E1,1.640438690E0
3.612862000E0,-8.834777985E0,-1.829196167E1,4.878355408E-1
3.622893000E0,-7.156468048E0,-1.756207947E1,5.125341797E-1
3.632924000E0,-5.429808655E0,-1.597118774E1,-1.910926208E0
3.642955000E0,-4.149221649E0,-1.383527939E1,-3.527714081E0
3.652986000E0,-3.901486816E0,-1.164727936E1,-3.304378510E0
3.663016000E0,-3.439547424E0,-1.004575974E1,-3.390000458E0
3.673047000E0,-2.189796295E0,-8.930728455E0,-3.266507263E0
3.683078000E0,-1.333427124E0,-8.149652710E0,-3.399580536E0
3.693109000E0,-2.845582581E-1,-7.345973969E0,-2.846929779E0
3.703140000E0,9.624984741E-2,-6.544690247E0,-2.791694641E0
3.713170000E0,5.551954651E-1,-5.590274963E0,-2.467917938E0
3.723201000E0,7.857160950E-1,-4.573439484E0,-2.094893646E0
3.733232000E0,1.827699280E-1,-3.895948334E0,-2.578687592E0
3.743263000E0,1.824705505E-1,-3.268453217E0,-2.885399780E0
3.753294000E0,7.623646545E-1,-2.507735138E0,-2.655178528E0
3.763325000E0,1.316811676E0,-1.979184265E0,-2.419718170E0
3.773355000E0,1.911674652E0,-1.680405579E0,-2.352058868E0
3.783386000E0,2.481240234E0,-1.400487671E0,-2.376009064E0
3.793417000E0,2.964585114E0,-1.028062134E0,-2.572101288E0
3.803448000E0,3.037333832E0,-5.706134033E-1,-2.874173126E0
3.813479000E0,2.772235107E0,-2.529739380E-2,-2.956352234E0
3.823509000E0,2.567311249E0,2.784210205E-1,-2.654430084E0
3.833540000E0,2.321372681E0,6.405180359E-1,-2.166145477E0
3.843571000E0,1.400487671E0,1.018332367E0,-1.553319855E0
3.853602000E0,-3.616479492E-1,9.771679688E-1,-7.957452393E-1
3.863633000E0,-2.593656464E0,2.656974792E-1,9.490264893E-2
3.873664000E0,-3.470233612E0,-1.578916626E0,1.789229279E0
3.883694000E0,-2.333497467E0,-4.191882935E0,6.044280853E0
3.893725000E0,-2.734363861E0,-8.494385834E0,1.786220535E1
3.903756000E0,-4.515060883E0,-1.473939926E1,3.398547684E1
3.913787000E0,-1.001402573E1,-2.391217438E1,3.828259094E1
3.923818000E0,-1.474478806E1,-3.334780289E1,1.904564438E1
3.933848500E0,-1.492501328E1,-3.959431320E1,7.220235443E0
3.943879500E0,-1.021056702E1,-3.125874710E1,6.933132477E0
3.953910500E0,-5.705984344E0,-1.555804688E1,7.107519836E0
3.963941500E0,-1.303788757E0,-5.451363831E0,5.618266754E0
3.973972500E0,6.902146912E-1,-2.743794250E-1,5.836812286E0
3.984002500E0,1.309177551E0,1.984573059E0,2.383044434E-1
3.994033500E0,2.588866425E0,2.509980469E0,-7.984096985E0
4.004064500E0,2.035317535E0,6.126759338E-1,-1.046503784E1
